ECODISTRIC,month,pe,precip,temp
600,10,25.75297,28.1,4.4
600,11,0,29.4,-6.5
600,12,0,29,-13.1
607,1,0,20.9,-20.9
607,2,0,15.4,-16
607,3,0,20.2,-9
607,4,18.40075,18.9,2
607,5,83.09068,35.3,10.2
607,6,114.98071,60.2,13.7
607,7,123.50035,74.9,15.5
607,8,106.20588,54.7,15
607,9,57.71547,35.4,8.9
607,10,14.01154,28.7,2.2
607,11,0,20.7,-9.5
607,12,0,21.3,-17.9
609,1,0,20.9,-17.8
609,2,0,16.1,-13.4
609,3,0,18.5,-6.5
609,4,24.5724,19.6,2.9
609,5,75.64356,43.2,9.4
609,6,114.04553,75.7,13.9
609,7,123.94927,89.8,15.9
609,8,101.45542,63.5,14.5
609,9,58.04324,44.9,9.2
609,10,21.6262,24.2,3.7
609,11,0,21.4,-7.8
609,12,0,24.1,-15
610,1,0,35.3,-13.8
610,2,0,24.8,-9.8
610,3,0,25.5,-4.3
610,4,32.39766,22.6,3.9
610,5,76.74073,52.4,9.6
610,6,106.7934,93.4,13
610,7,116.98199,96,15
610,8,99.0312,80.7,14.1
610,9,59.69344,54.4,9.4
610,10,26.35155,28.6,4.5
610,11,0,30,-5.7
610,12,0,32.6,-12.1
611,1,0,36.5,-13.4
611,2,0,27,-9.1
611,3,0,28.1,-3.7
611,4,35.45639,23,4.5
611,5,77.71446,48.2,9.9
611,6,108.68341,88.2,13.3
611,7,118.20978,87.1,15.3
611,8,99.98274,73.5,14.5
611,9,59.81929,52.6,9.6
611,10,27.30937,30.2,4.8
611,11,0,31.6,-5.1
611,12,0,35.7,-11.8
612,1,0,23.9,-16.3
612,2,0,18.6,-12.1
612,3,0,19.4,-5.5
612,4,29.04051,24.1,3.4
612,5,78.40244,43.6,9.6
612,6,109.85484,94.5,13.1
612,7,119.55392,89,15.1
612,8,98.41362,67,13.7
612,9,57.19805,47.6,8.8
612,10,24.6488,25.7,4.1
612,11,0,22.5,-6.9
612,12,0,24.5,-13.9
614,1,0,24.2,-16.6
614,2,0,16.3,-12.7
614,3,0,19.1,-5.9
614,4,24.98439,19.5,3
614,5,72.91907,43.4,9.1
614,6,113.78644,77.2,14
614,7,124.70628,95.2,16.2
614,8,103.24557,58.9,14.9
614,9,57.98538,43.6,9.3
614,10,20.71629,22.2,3.5
614,11,0,19.8,-7.2
614,12,0,24.2,-14.3
615,1,0,25.5,-17
615,2,0,19.9,-12.6
615,3,0,18.8,-5.9
615,4,25.82722,19.5,3.2
615,5,76.55245,43.1,9.6
615,6,110.80232,84.6,13.7
615,7,121.81518,99.8,15.8
615,8,100.68322,67.6,14.5
615,9,57.89545,41.3,9.1
615,10,22.74729,21.8,3.8
615,11,0,20.5,-7
615,12,0,23.9,-14.4
616,1,0,24,-16.1
616,2,0,19.5,-12
616,3,0,17.5,-5.1
616,4,27.18806,20.1,3.4
616,5,78.22523,43.9,9.8
616,6,109.5863,92,13.5
616,7,119.958,101,15.5
616,8,99.14396,72.9,14.2
616,9,57.1728,40.5,8.9
616,10,22.7937,21.8,3.7
616,11,0,20.3,-7.2
616,12,0,24,-14.4
617,1,0,20.6,-14.6
617,2,0,16.1,-10.8
617,3,0,19.7,-4.3
617,4,26.44169,21.3,3.3
617,5,76.30218,42.5,9.7
617,6,109.84598,89.4,13.6
617,7,119.21572,111.3,15.5
617,8,100.09915,80.1,14.3
617,9,57.66978,44.7,9
617,10,22.30556,17.4,3.7
617,11,0,18.9,-6.5
617,12,0,23.7,-13.4
618,1,0,33.3,-14.2
618,2,0,23.9,-10.4
618,3,0,24.9,-4.7
618,4,29.77308,21.4,3.6
618,5,75.99233,40.2,9.5
618,6,109.06763,78.1,13.4
618,7,118.82894,77.1,15.3
