"","ECODISTRIC","Province_ID","Texture","DeltaSOC_avg"
"379",631,"AB","fine",-0.085829377
"380",631,"AB","medium",-0.079882392
"381",647,"SK","coarse",0.109616478
"382",647,"SK","medium",0.042021236
"383",650,"AB","coarse",-0.001153266
"384",650,"AB","fine",-0.0155548332
"385",650,"AB","medium",-0.024563007
"386",652,"SK","coarse",0.032710399
"387",652,"SK","medium",0.006294059
"388",657,"SK","coarse",0.052182099
"389",657,"SK","medium",0.076799508
"390",658,"SK","coarse",0.027786758
"391",658,"SK","medium",0.101050323
"392",660,"SK","coarse",0.137780418
"393",660,"SK","medium",0.023651994
"394",661,"SK","coarse",0.044762143
"395",661,"SK","medium",0.073347092
"396",662,"SK","coarse",0.083790268
"397",667,"MB","medium",0.136305326
"398",669,"MB","medium",0.327238084
"399",669,"SK","medium",-0.0628939354
"400",672,"SK","coarse",0.224487205
"401",672,"SK","fine",0.248777294
"402",672,"SK","medium",0.175843889
"403",677,"MB","fine",0.176064394
"404",678,"AB","coarse",-0.052357929
"405",678,"AB","fine",-0.1092789196
"406",678,"AB","medium",-0.0116061398
"407",679,"AB","medium",-0.009449031
"408",680,"AB","coarse",0.0278498074
"409",680,"AB","medium",0.0598697566
"410",680,"SK","coarse",0.021805094
"411",680,"SK","medium",0.03363735
"412",681,"AB","coarse",0.097867583
"413",681,"AB","fine",0.141513612
"414",681,"AB","medium",0.102811227
"415",682,"SK","coarse",0.120970291
"416",682,"SK","fine",0.029720449
"417",682,"SK","medium",0.087820451
"418",683,"AB","coarse",0.1148963016
"419",683,"AB","medium",0.1989332132
"420",684,"AB","coarse",0.0320831844
"421",684,"AB","fine",-0.012766774
"422",684,"AB","medium",0.029851912
"423",685,"SK","coarse",0.128654485
"424",685,"SK","fine",0.164071703
"425",685,"SK","medium",0.058483278
"426",686,"AB","medium",0.01706713
"427",686,"SK","coarse",0.0014410218
"428",686,"SK","medium",-0.047232149
"429",687,"AB","coarse",0.059516773
"430",687,"AB","medium",0.093433681
"431",687,"SK","coarse",0.111236677
"432",687,"SK","medium",0.061455888
"433",688,"AB","medium",0.110507223
"434",689,"SK","coarse",0.068367865
"435",689,"SK","medium",0.064544936
"436",690,"SK","coarse",0.07888029
"437",690,"SK","medium",0.099727814
"438",691,"SK","coarse",0.1223984462
"439",691,"SK","medium",0.052437625
"440",692,"AB","coarse",-0.006285906
"441",692,"AB","fine",0.05346768
"442",692,"AB","medium",0.037478439
"443",693,"SK","coarse",0.112281323
"444",693,"SK","medium",0.108291922
"445",694,"SK","coarse",0.16086809
"446",694,"SK","fine",0.166229527
"447",694,"SK","medium",0.180825947
"448",695,"SK","coarse",0.123857534
"449",695,"SK","medium",0.120054071
"450",696,"SK","coarse",0.121388365
"451",696,"SK","medium",0.131672151
"452",697,"SK","fine",0.13761418
"453",697,"SK","medium",0.123151365
"454",698,"SK","coarse",0.126577942
"455",698,"SK","medium",0.15087349
"456",699,"SK","medium",0.049563168
"457",700,"SK","fine",0.141591034
"458",700,"SK","medium",0.074556378
"459",701,"SK","coarse",0.101440183
"460",701,"SK","medium",0.139381212
"461",702,"SK","coarse",0.144596333
"462",702,"SK","fine",0.156032936
"463",702,"SK","medium",0.137236317
"464",703,"AB","fine",0.19617497
"465",703,"AB","medium",0.020585319
"466",704,"SK","coarse",0.1957883044
"467",704,"SK","fine",0.218751482
"468",704,"SK","medium",0.147417584
"469",705,"SK","fine",0.136493253
"470",705,"SK","medium",0.103972079
"471",706,"SK","coarse",0.09997623
"472",706,"SK","medium",0.074644925
"473",707,"SK","coarse",0.168395157
"474",707,"SK","fine",0.205473896
"475",707,"SK","medium",0.151895008
"476",708,"AB","coarse",0.042040034
"477",708,"AB","medium",0.01658328
"478",709,"MB","coarse",0.285085656
"479",709,"MB","fine",0.238249379
"480",709,"MB","medium",0.210238718
"481",709,"SK","coarse",0.161064887
"482",709,"SK","fine",0.225037839
"483",709,"SK","medium",0.238920614
"484",710,"SK","coarse",0.172796558
"485",710,"SK","medium",0.069425721
"486",711,"SK","coarse",0.03412894
"487",711,"SK","medium",0.014880101
"488",714,"MB","medium",0.164858503
"489",714,"SK","fine",0.173710383
"490",714,"SK","medium",0.122882474
"491",715,"MB","coarse",0.135351323
"492",715,"MB","fine",0.138852874
"493",715,"MB","medium",0.170924094
"494",715,"SK","fine",0.243186627
"495",715,"SK","medium",0.147448705
"496",716,"MB","coarse",0.295280328
"497",716,"MB","fine",0.135434126
"498",716,"MB","medium",0.166914455
"499",717,"MB","coarse",0.563393888
"500",717,"MB","fine",0.304172976
"501",717,"MB","medium",0.332744297
"502",718,"MB","medium",0.1335678264
"503",720,"MB","fine",0.130264079
"504",723,"MB","coarse",0.223195789
"505",723,"MB","fine",0.107446891
"506",723,"MB","medium",0.195257146
"507",724,"MB","coarse",0.132772023
"508",724,"MB","fine",0.207279467
"509",724,"MB","medium",0.19105159
"510",726,"MB","coarse",0.2446397944
"511",726,"MB","fine",0.168475586
"512",727,"AB","coarse",0.1708428968
"513",727,"AB","fine",0.205464214
"514",727,"AB","medium",0.169423582
"515",728,"AB","coarse",0.131805493
"516",728,"AB","fine",0.065819956
"517",728,"AB","medium",0.159978324
"518",729,"AB","coarse",0.1668908112
"519",729,"AB","medium",0.148666104
"520",729,"SK","coarse",0.127844208
"521",729,"SK","medium",0.083939064
"522",730,"AB","coarse",0.190470599
"523",730,"AB","fine",0.219866621
"524",730,"AB","medium",0.115864056
"525",731,"AB","coarse",0.172538655
"526",731,"AB","medium",0.133497026
"527",732,"AB","medium",0.060159031
"528",733,"SK","coarse",0.124339414
"529",733,"SK","fine",0.089450778
"530",733,"SK","medium",0.129103603
"531",734,"SK","coarse",0.09837674
"532",734,"SK","medium",0.116768154
"533",735,"SK","coarse",0.123863544
"534",735,"SK","medium",0.132363077
"535",736,"SK","coarse",0.126137687
"536",736,"SK","fine",0.076457848
"537",736,"SK","medium",0.155346619
"538",737,"AB","coarse",0.123177116
"539",737,"AB","fine",0.2713931322
"540",737,"AB","medium",0.1778958756
"541",738,"AB","coarse",0.1938645254
"542",738,"AB","medium",0.104671039
"543",739,"AB","coarse",0.104913325
"544",739,"AB","medium",0.1474922348
"545",739,"SK","coarse",0.111145013
"546",739,"SK","medium",0.122151299
"547",740,"AB","coarse",0.1932606674
"548",740,"AB","medium",0.109377031
"549",741,"SK","coarse",0.141911006
"550",741,"SK","fine",0.134005474
"551",741,"SK","medium",0.141621667
"552",742,"SK","coarse",0.119384343
"553",742,"SK","medium",0.149897838
"554",743,"AB","coarse",0.148575764
"555",743,"AB","medium",0.157082983
"556",743,"SK","coarse",0.12307391
"557",743,"SK","fine",0.071148373
"558",743,"SK","medium",0.126467884
"559",744,"AB","fine",-0.0838645022
"560",744,"AB","medium",0.158281155
"561",745,"SK","coarse",0.150188953
"562",745,"SK","fine",0.189644692
"563",745,"SK","medium",0.188112359
"564",746,"AB","medium",0.133773321
"565",747,"SK","coarse",0.190640035
"566",747,"SK","medium",0.2026960364
"567",748,"SK","coarse",0.147449497
"568",748,"SK","fine",0.174262057
"569",748,"SK","medium",0.20841792
"570",749,"SK","coarse",0.2266211118
"571",749,"SK","medium",0.249509661
"572",750,"AB","fine",0.086608981
"573",750,"AB","medium",0.142387532
"574",751,"MB","coarse",0.199106048
"575",751,"MB","medium",0.29580445
"576",751,"SK","coarse",0.159525139
"577",751,"SK","medium",0.24601281
"578",752,"MB","fine",0.222520467
"579",752,"MB","medium",0.320774165
"580",752,"SK","coarse",0.174230053
"581",752,"SK","medium",0.241764656
"582",753,"MB","coarse",0.224339488
"583",753,"MB","fine",0.211557586
"584",753,"MB","medium",0.244380135
"585",754,"SK","coarse",0.159691056
"586",754,"SK","fine",0.135259592
"587",754,"SK","medium",0.198848419
"588",755,"SK","coarse",0.09965966
"589",755,"SK","medium",0.128746155
"590",756,"SK","coarse",0.174662401
"591",756,"SK","medium",0.238524232
"592",757,"MB","coarse",0.1728266304
"593",757,"MB","fine",0.1740684216
"594",757,"MB","medium",0.276888059
"595",758,"MB","coarse",0.1852710398
"596",758,"MB","fine",0.114811399
"597",758,"MB","medium",0.2459534344
"598",759,"MB","coarse",0.148637628
"599",759,"MB","medium",0.2263614676
"600",760,"MB","medium",0.2334149894
"601",760,"SK","coarse",0.180840092
"602",760,"SK","medium",0.257282747
"603",761,"SK","fine",0.209337435
"604",761,"SK","medium",0.265687516
"605",762,"SK","coarse",0.177766705
"606",762,"SK","medium",0.231423239
"607",763,"MB","coarse",0.149494305
"608",763,"MB","fine",0.179289165
"609",763,"MB","medium",0.2485664024
"610",763,"SK","coarse",0.173820189
"611",763,"SK","medium",0.248032664
"612",764,"MB","medium",0.224933975
"613",765,"MB","coarse",0.120502124
"614",765,"MB","medium",0.200532973
"615",766,"MB","coarse",0.160264176
"616",766,"MB","medium",0.261678812
"617",767,"SK","coarse",0.12544778
"618",767,"SK","fine",0.100966812
"619",767,"SK","medium",0.137959542
"620",768,"SK","medium",0.130491308
"621",769,"AB","medium",0.0895077774
"622",770,"SK","coarse",0.104962759
"623",770,"SK","fine",0.053401028
"624",770,"SK","medium",0.112754402
"625",771,"AB","coarse",0.1144372224
"626",771,"AB","fine",0.014701926
"627",771,"AB","medium",0.0929330978
"628",771,"SK","fine",0.07747212
"629",771,"SK","medium",0.1173174948
"630",772,"SK","coarse",0.111621079
"631",772,"SK","medium",0.109458181
"632",773,"SK","coarse",0.111242451
"633",773,"SK","fine",0.041513063
"634",773,"SK","medium",0.094744271
"635",774,"SK","medium",0.110017252
"636",775,"SK","coarse",0.126703116
"637",775,"SK","medium",0.124227918
"638",776,"SK","coarse",0.068708439
"639",776,"SK","medium",0.1093330362
"640",777,"AB","coarse",0.059757812
"641",777,"AB","medium",0.091048752
"642",778,"SK","coarse",0.103091438
"643",778,"SK","medium",0.100849483
"644",779,"AB","medium",0.095665948
"645",780,"SK","coarse",0.096215739
"646",780,"SK","fine",0.039507469
"647",780,"SK","medium",0.093647957
"648",781,"AB","coarse",0.080057201
"649",781,"AB","fine",-0.085673178
"650",781,"AB","medium",0.026420547
"651",782,"SK","coarse",0.107218256
"652",782,"SK","medium",0.123558547
"653",783,"SK","medium",0.151482309
"654",784,"SK","coarse",0.091113066
"655",784,"SK","fine",0.015199772
"656",784,"SK","medium",0.051963047
"657",785,"SK","fine",0.034912162
"658",785,"SK","medium",0.097096682
"659",786,"AB","fine",0.0883914394
"660",786,"AB","medium",0.051382699
"661",787,"AB","medium",0.025843021
"662",788,"AB","fine",0.00864663699999999
"663",788,"AB","medium",0.031914593
"664",789,"SK","coarse",0.0902646924
"665",789,"SK","fine",0.040809607
"666",789,"SK","medium",0.093351824
"667",790,"AB","coarse",0.092256361
"668",790,"AB","medium",0.05288961
"669",791,"AB","medium",0.0299335184
"670",792,"SK","coarse",0.080033041
"671",792,"SK","fine",0.047236884
"672",792,"SK","medium",0.128309722
"673",793,"AB","coarse",0.081317364
"674",793,"AB","fine",0.0062102884
"675",793,"AB","medium",0.0347063454
"676",794,"SK","medium",0.200394074
"677",795,"SK","medium",0.127117885
"678",796,"SK","coarse",0.158697007
"679",796,"SK","medium",0.18324238
"680",797,"AB","coarse",0.072806994
"681",797,"AB","fine",-0.119985296
"682",797,"AB","medium",-0.006043616
"683",798,"AB","coarse",0.117177688
"684",798,"AB","fine",0.152245248
"685",798,"AB","medium",0.053089333
"686",799,"AB","medium",0.115516926
"687",800,"AB","fine",0.082056072
"688",800,"AB","medium",0.121288585
"689",801,"AB","fine",0.194733624
"690",801,"AB","medium",0.1989506498
"691",802,"AB","medium",0.067962153
"692",803,"SK","coarse",0.094541509
"693",803,"SK","fine",0.077308531
"694",803,"SK","medium",0.115705549
"695",804,"AB","coarse",0.048253275
"696",804,"AB","medium",0.078894833
"697",805,"AB","coarse",0.06961395
"698",805,"AB","fine",0.019734864
"699",805,"AB","medium",0.069998445
"700",805,"SK","coarse",0.0826609958
"701",805,"SK","fine",0.04250781
"702",805,"SK","medium",0.075572115
"703",806,"AB","coarse",0.0588498718
"704",806,"AB","fine",0.020866925
"705",806,"AB","medium",0.063267584
"706",807,"SK","fine",0.010705799
"707",807,"SK","medium",0.038905905
"708",808,"SK","coarse",0.048830478
"709",808,"SK","fine",-0.054002586
"710",808,"SK","medium",0.0382219056
"711",809,"AB","coarse",0.058794
"712",809,"AB","medium",0.09595069
"713",809,"SK","coarse",0.042380601
"714",809,"SK","fine",-0.03443303
"715",809,"SK","medium",0.013706385
"716",810,"SK","medium",0.1025910174
"717",811,"AB","coarse",0.0501855788
"718",811,"AB","fine",-0.048818109
"719",811,"AB","medium",0.067115222
"720",811,"SK","fine",-0.022026456
"721",811,"SK","medium",0.024262611
"722",812,"AB","coarse",0.020939416
"723",812,"AB","fine",-0.0514178914
"724",812,"AB","medium",0.0063396646
"725",813,"SK","coarse",0.053402371
"726",813,"SK","fine",0.0046552104
"727",813,"SK","medium",0.0584563836
"728",814,"AB","coarse",0.03964524
"729",814,"AB","medium",0.051887598
"730",815,"AB","coarse",0.0501027404
"731",815,"AB","medium",0.034911462
"732",815,"SK","coarse",0.044210048
"733",815,"SK","medium",0.0610006646
"734",816,"SK","coarse",0.056642047
"735",816,"SK","fine",-0.041355265
"736",816,"SK","medium",0.046936065
"737",817,"SK","fine",-0.032216132
"738",817,"SK","medium",-0.00503286600000001
"739",818,"AB","medium",0.026656801
"740",819,"SK","coarse",0.026564621
"741",819,"SK","medium",0.021363048
"742",820,"SK","coarse",0.032069333
