"","MAP_bin","MAT_bin","Cinput_bin","CARB30_bin","TEXCAT","mean_deltaSOC","median_deltaSOC","sd_deltaSOC","n"
"70",2,2,2,1,"coarse",0.0853299767860262,0.07980009,0.0930219306114371,916
"71",2,2,2,1,"fine",0.0211179393723404,0.0235307,0.108156136188719,564
"72",2,2,2,1,"medium",0.0618009999170626,0.057988353,0.133116563835953,926
"73",2,2,2,2,"coarse",0.17199963521393,0.178318746,0.0725067510482385,201
"74",2,2,2,2,"fine",0.163034952189189,0.165106213,0.0954231322763089,148
"75",2,2,2,2,"medium",0.181216993829032,0.1528697565,0.130052346227493,310
"76",2,2,2,3,"fine",0.222558994296296,0.197326638,0.166973612067373,27
"77",2,2,2,3,"medium",0.328767226714286,0.344301323,0.079127389117756,35
"78",2,2,3,1,"coarse",0.138754341594059,0.129250668,0.0882536203879653,101
"79",2,2,3,1,"fine",0.0789855953846154,0.087543399,0.0794460138670816,39
"80",2,2,3,1,"medium",0.10009266859633,0.098823932,0.114173980342844,109
"81",2,2,3,2,"coarse",0.203834380714286,0.210809488,0.0717265319181501,14
"82",2,2,3,2,"fine",0.226465441222222,0.240422877,0.0540109342533372,9
"83",2,2,3,2,"medium",0.2866734295625,0.238396702,0.144525344062988,16
"84",2,2,4,1,"coarse",0.117433168,0.117433168,NA,1
"85",3,1,1,1,"coarse",0.144196203571429,0.140664155,0.0354537155753631,7
"86",3,1,1,1,"medium",0.0420274293103448,0.025790399,0.138751256058524,29
"87",3,1,1,2,"coarse",0.174128123555556,0.185132838,0.0455991024209173,18
"88",3,1,1,2,"fine",0.06587669868,0.086846149,0.09086282641183,25
"89",3,1,1,2,"medium",0.0813757426333333,0.079386598,0.0740412220129262,30
"90",3,1,1,3,"fine",0.150447753,0.169209783,0.0978680286235131,15
"91",3,1,2,1,"coarse",0.162324116923077,0.16860193,0.0278536474356123,26
"92",3,1,2,1,"medium",0.195769416135135,0.24668417,0.12956973127423,37
"93",3,1,2,2,"coarse",0.240005932666667,0.234229688,0.050541556986209,15
"94",3,1,2,2,"fine",0.126824402536585,0.132637349,0.112975050815313,41
"95",3,1,2,2,"medium",0.118883590336232,0.135050994,0.100964007034189,69
"96",3,1,2,3,"fine",0.284923708777778,0.303531088,0.130555683030819,18
"97",3,2,1,1,"coarse",0.0142656486569343,0.01154728,0.0926613711130215,137
"98",3,2,1,1,"medium",-0.0236087753106383,-0.032677502,0.147216497351573,235
"99",3,2,1,4,"coarse",0.328424883,0.340431488,0.0789357872166023,20
"100",3,2,2,1,"coarse",0.0775659732241379,0.0542649965,0.133170764310715,116
"101",3,2,2,1,"fine",-0.0318326915081967,-0.019854988,0.0911248733159778,61
"102",3,2,2,1,"medium",0.0249607126130435,0.021014737,0.137374961861908,230
"103",3,2,2,2,"coarse",0.260169296363636,0.2798896,0.0970655262300747,44
"104",3,2,2,2,"fine",0.129945808775862,0.141950815,0.175955051405718,58
"105",3,2,2,2,"medium",0.132653052047619,0.146139115,0.157707809762831,63
"106",3,2,3,1,"coarse",0.123170791882353,0.179338438,0.112312104413277,17
"107",3,2,3,1,"fine",-0.003017408,0.004168162,0.0698992718136684,5
"108",3,2,3,1,"medium",0.106990017210526,0.116884469,0.130939248064995,38
