"","Region","DeltaSOC_Coarse","DeltaSOC_Medium","DeltaSOC_Fine"
"1","AB",104.066610857933,136.840769630727,126.413703300328
"2","AT",106.256823669164,101.839261063344,65.2201274126987
"3","BC",59.8892971112152,29.2362013795122,25.0501906688476
"4","MB",218.888593645967,234.483871750359,220.0489339109
"5","NF",65.6925657302673,161.194094489731,NA
"6","ON",141.007946545629,121.863372973521,104.932028626308
"7","QC",233.531133789062,162.134596778927,168.789889115204
"8","SK",132.299396081145,152.775519428374,160.207275378091
